,loss,learning_rate,epoch
0,0.719,3.4482758620689656e-07,0.02
1,0.6972,6.896551724137931e-07,0.03
2,0.5809,1.0344827586206898e-06,0.05
3,0.5018,1.3793103448275862e-06,0.07
4,0.4578,1.724137931034483e-06,0.09
5,0.4317,2.0689655172413796e-06,0.1
6,0.4136,2.4137931034482762e-06,0.12
7,0.394,2.7586206896551725e-06,0.14
8,0.3832,3.103448275862069e-06,0.16
9,0.3767,3.448275862068966e-06,0.17
10,0.3728,3.793103448275862e-06,0.19
11,0.3567,4.137931034482759e-06,0.21
12,0.3463,4.482758620689656e-06,0.22
13,0.3401,4.8275862068965525e-06,0.24
14,0.3278,5.172413793103449e-06,0.26
15,0.3233,5.517241379310345e-06,0.28
16,0.3119,5.862068965517242e-06,0.29
17,0.3036,6.206896551724138e-06,0.31
18,0.292,6.551724137931035e-06,0.33
19,0.2934,6.896551724137932e-06,0.34
20,0.2871,7.241379310344828e-06,0.36
21,0.276,7.586206896551724e-06,0.38
22,0.2706,7.93103448275862e-06,0.4
23,0.2627,8.275862068965518e-06,0.41
24,0.2629,8.620689655172414e-06,0.43
25,0.257,8.965517241379312e-06,0.45
26,0.2576,9.310344827586207e-06,0.47
27,0.2433,9.655172413793105e-06,0.48
28,0.2499,1e-05,0.5
29,0.2349,9.962068965517242e-06,0.52
30,0.222,9.924137931034484e-06,0.53
31,0.2273,9.886206896551725e-06,0.55
32,0.2245,9.848275862068966e-06,0.57
33,0.2224,9.810344827586208e-06,0.59
34,0.2191,9.77241379310345e-06,0.6
35,0.2155,9.73448275862069e-06,0.62
36,0.2138,9.696551724137932e-06,0.64
37,0.2114,9.658620689655173e-06,0.66
38,0.2075,9.620689655172415e-06,0.67
39,0.204,9.582758620689656e-06,0.69
40,0.1995,9.544827586206898e-06,0.71
41,0.2032,9.506896551724139e-06,0.72
42,0.2087,9.46896551724138e-06,0.74
43,0.1942,9.431034482758622e-06,0.76
44,0.197,9.393103448275863e-06,0.78
45,0.2006,9.355172413793104e-06,0.79
46,0.1849,9.317241379310346e-06,0.81
47,0.1899,9.279310344827587e-06,0.83
48,0.1847,9.241379310344829e-06,0.84
49,0.1898,9.20344827586207e-06,0.86
50,0.1891,9.165517241379311e-06,0.88
51,0.183,9.127586206896553e-06,0.9
52,0.1848,9.089655172413794e-06,0.91
53,0.1753,9.051724137931036e-06,0.93
54,0.176,9.013793103448277e-06,0.95
55,0.1759,8.975862068965518e-06,0.97
56,0.1815,8.93793103448276e-06,0.98
57,0.1777,8.9e-06,1.0
58,0.1801,8.862068965517243e-06,1.02
59,0.1736,8.824137931034484e-06,1.03
60,0.1739,8.786206896551725e-06,1.05
61,0.1713,8.748275862068967e-06,1.07
62,0.1717,8.710344827586208e-06,1.09
63,0.1712,8.67241379310345e-06,1.1
64,0.171,8.63448275862069e-06,1.12
65,0.166,8.596551724137932e-06,1.14
66,0.165,8.558620689655174e-06,1.16
67,0.1733,8.520689655172413e-06,1.17
68,0.1621,8.482758620689656e-06,1.19
69,0.1645,8.444827586206898e-06,1.21
70,0.1695,8.40689655172414e-06,1.22
71,0.1627,8.368965517241379e-06,1.24
72,0.161,8.331034482758622e-06,1.26
73,0.1674,8.293103448275863e-06,1.28
74,0.1562,8.255172413793105e-06,1.29
75,0.1612,8.217241379310346e-06,1.31
76,0.1632,8.179310344827588e-06,1.33
77,0.1586,8.141379310344827e-06,1.34
78,0.163,8.103448275862069e-06,1.36
79,0.1585,8.065517241379312e-06,1.38
80,0.1541,8.027586206896553e-06,1.4
81,0.1498,7.989655172413795e-06,1.41
82,0.1561,7.951724137931036e-06,1.43
83,0.1614,7.913793103448277e-06,1.45
84,0.163,7.875862068965517e-06,1.47
85,0.1514,7.837931034482758e-06,1.48
86,0.1553,7.800000000000002e-06,1.5
87,0.1518,7.762068965517241e-06,1.52
88,0.1497,7.724137931034484e-06,1.53
89,0.1608,7.686206896551724e-06,1.55
90,0.1464,7.648275862068965e-06,1.57
91,0.1569,7.610344827586207e-06,1.59
92,0.1569,7.572413793103448e-06,1.6
93,0.1508,7.53448275862069e-06,1.62
94,0.1494,7.496551724137932e-06,1.64
95,0.1505,7.458620689655172e-06,1.66
96,0.1475,7.420689655172414e-06,1.67
97,0.1459,7.382758620689655e-06,1.69
98,0.1624,7.344827586206895e-06,1.71
99,0.1589,7.306896551724137e-06,1.72
100,0.1524,7.26896551724138e-06,1.74
101,0.1488,7.2310344827586224e-06,1.76
102,0.1498,7.193103448275862e-06,1.78
103,0.1449,7.1551724137931035e-06,1.79
104,0.1459,7.117241379310345e-06,1.81
105,0.1482,7.0793103448275855e-06,1.83
106,0.1447,7.041379310344827e-06,1.84
107,0.1392,7.003448275862069e-06,1.86
108,0.142,6.965517241379311e-06,1.88
109,0.1503,6.927586206896552e-06,1.9
110,0.145,6.889655172413792e-06,1.91
111,0.1514,6.851724137931035e-06,1.93
112,0.1424,6.813793103448275e-06,1.95
113,0.1511,6.7758620689655174e-06,1.97
114,0.1482,6.737931034482759e-06,1.98
115,0.1454,6.700000000000001e-06,2.0
116,0.1392,6.6620689655172425e-06,2.02
117,0.14,6.624137931034483e-06,2.03
118,0.142,6.5862068965517236e-06,2.05
119,0.1363,6.548275862068965e-06,2.07
120,0.1339,6.510344827586207e-06,2.09
121,0.1393,6.472413793103448e-06,2.1
122,0.1355,6.43448275862069e-06,2.12
123,0.136,6.396551724137931e-06,2.14
124,0.1381,6.358620689655173e-06,2.16
125,0.1365,6.3206896551724125e-06,2.17
126,0.1372,6.2827586206896555e-06,2.19
127,0.1332,6.244827586206898e-06,2.21
128,0.133,6.2068965517241375e-06,2.22
129,0.1271,6.16896551724138e-06,2.24
130,0.134,6.131034482758621e-06,2.26
131,0.1408,6.0931034482758625e-06,2.28
132,0.1361,6.055172413793103e-06,2.29
133,0.1372,6.0172413793103444e-06,2.31
134,0.1361,5.979310344827587e-06,2.33
135,0.1406,5.941379310344827e-06,2.34
136,0.1316,5.9034482758620695e-06,2.36
137,0.1432,5.865517241379311e-06,2.38
138,0.1379,5.827586206896551e-06,2.4
139,0.1317,5.789655172413793e-06,2.41
140,0.1354,5.7517241379310325e-06,2.43
141,0.1282,5.7137931034482756e-06,2.45
142,0.1313,5.675862068965518e-06,2.47
143,0.1324,5.637931034482758e-06,2.48
144,0.1335,5.600000000000001e-06,2.5
145,0.1301,5.562068965517241e-06,2.52
146,0.1309,5.5241379310344825e-06,2.53
147,0.1258,5.486206896551723e-06,2.55
148,0.1276,5.448275862068966e-06,2.57
149,0.1302,5.410344827586207e-06,2.59
150,0.1312,5.372413793103449e-06,2.6
151,0.1297,5.3344827586206895e-06,2.62
152,0.1307,5.296551724137931e-06,2.64
153,0.1322,5.258620689655173e-06,2.66
154,0.1303,5.220689655172413e-06,2.67
