,loss,learning_rate,epoch
0,0.6958,1.0070493454179256e-06,0.1
1,0.5904,2.0140986908358513e-06,0.2
2,0.4915,3.0211480362537765e-06,0.3
3,0.4464,4.028197381671703e-06,0.4
4,0.42,5.035246727089627e-06,0.5
5,0.4067,6.042296072507553e-06,0.6
6,0.3894,7.0493454179254795e-06,0.7
7,0.381,8.056394763343405e-06,0.81
8,0.3617,9.06344410876133e-06,0.91
9,0.343,9.992245720040283e-06,1.01
10,0.3227,9.88147029204431e-06,1.11
11,0.3074,9.77069486404834e-06,1.21
12,0.3001,9.659919436052367e-06,1.31
13,0.293,9.549144008056396e-06,1.41
14,0.2913,9.438368580060424e-06,1.51
15,0.2816,9.327593152064452e-06,1.61
16,0.2789,9.216817724068479e-06,1.71
17,0.2568,9.106042296072508e-06,1.81
18,0.2622,8.995266868076536e-06,1.91
19,0.2549,8.884491440080565e-06,2.01
20,0.2481,8.773716012084593e-06,2.11
21,0.2482,8.66294058408862e-06,2.22
22,0.2345,8.55216515609265e-06,2.32
23,0.2398,8.441389728096677e-06,2.42
24,0.2393,8.330614300100705e-06,2.52
25,0.2337,8.219838872104734e-06,2.62
26,0.2313,8.109063444108762e-06,2.72
27,0.2268,7.99828801611279e-06,2.82
28,0.228,7.887512588116818e-06,2.92
29,0.2231,7.776737160120848e-06,3.02
30,0.2154,7.665961732124873e-06,3.12
31,0.2151,7.555186304128902e-06,3.22
32,0.2116,7.44441087613293e-06,3.32
33,0.2092,7.333635448136959e-06,3.42
34,0.2054,7.222860020140987e-06,3.52
35,0.2086,7.112084592145015e-06,3.63
36,0.2061,7.001309164149044e-06,3.73
37,0.2102,6.8905337361530715e-06,3.83
38,0.2107,6.779758308157101e-06,3.93
39,0.2,6.6689828801611274e-06,4.03
40,0.1965,6.558207452165156e-06,4.13
41,0.1876,6.447432024169184e-06,4.23
42,0.1938,6.336656596173212e-06,4.33
43,0.1865,6.225881168177241e-06,4.43
44,0.1923,6.115105740181269e-06,4.53
45,0.1961,6.004330312185298e-06,4.63
46,0.1924,5.893554884189325e-06,4.73
47,0.1901,5.782779456193352e-06,4.83
48,0.1895,5.6720040281973806e-06,4.93
49,0.1817,5.561228600201409e-06,5.04
50,0.1804,5.450453172205437e-06,5.14
51,0.1784,5.339677744209466e-06,5.24
52,0.1788,5.228902316213496e-06,5.34
53,0.1788,5.118126888217523e-06,5.44
54,0.1801,5.007351460221551e-06,5.54
55,0.1768,4.896576032225579e-06,5.64
56,0.1735,4.785800604229607e-06,5.74
57,0.1702,4.675025176233635e-06,5.84
58,0.179,4.564249748237664e-06,5.94
59,0.1752,4.453474320241691e-06,6.04
60,0.1636,4.34269889224572e-06,6.14
61,0.1676,4.231923464249748e-06,6.24
62,0.169,4.1211480362537766e-06,6.34
63,0.1717,4.010372608257805e-06,6.45
64,0.1694,3.899597180261833e-06,6.55
65,0.1682,3.7888217522658614e-06,6.65
66,0.1669,3.678046324269888e-06,6.75
67,0.1656,3.5672708962739165e-06,6.85
68,0.1664,3.4564954682779457e-06,6.95
69,0.1669,3.345720040281974e-06,7.05
70,0.1592,3.234944612286002e-06,7.15
71,0.1593,3.1241691842900305e-06,7.25
72,0.1592,3.0133937562940585e-06,7.35
73,0.1625,2.902618328298087e-06,7.45
74,0.1555,2.791842900302114e-06,7.55
75,0.1585,2.6810674723061425e-06,7.65
76,0.1587,2.570292044310171e-06,7.75
77,0.161,2.4595166163141993e-06,7.85
78,0.1611,2.3487411883182277e-06,7.96
79,0.1546,2.237965760322256e-06,8.06
80,0.1603,2.1271903323262845e-06,8.16
81,0.1557,2.0164149043303117e-06,8.26
82,0.1631,1.90563947633434e-06,8.36
83,0.1579,1.7948640483383683e-06,8.46
84,0.1508,1.684088620342397e-06,8.56
85,0.1481,1.5733131923464253e-06,8.66
86,0.1452,1.4625377643504533e-06,8.76
87,0.1507,1.3517623363544815e-06,8.86
88,0.148,1.2409869083585088e-06,8.96
89,0.153,1.1302114803625372e-06,9.06
90,0.1425,1.0194360523665656e-06,9.16
91,0.1436,9.08660624370594e-07,9.26
92,0.1479,7.978851963746224e-07,9.37
93,0.1502,6.871097683786509e-07,9.47
94,0.1508,5.76334340382679e-07,9.57
95,0.1504,4.655589123867075e-07,9.67
96,0.1498,3.547834843907347e-07,9.77
97,0.145,2.44008056394763e-07,9.87
98,0.1517,1.3323262839879138e-07,9.97
