,loss,learning_rate,epoch
0,0.656,2.012072434607646e-06,0.1
1,0.5213,4.024144869215292e-06,0.2
2,0.4423,6.036217303822938e-06,0.3
3,0.4131,8.048289738430584e-06,0.4
4,0.3876,9.993352730528202e-06,0.5
5,0.3606,9.771777081468219e-06,0.6
6,0.3313,9.550201432408237e-06,0.7
7,0.3251,9.328625783348256e-06,0.81
8,0.3104,9.107050134288273e-06,0.91
9,0.2957,8.885474485228291e-06,1.01
10,0.2829,8.66389883616831e-06,1.11
11,0.2777,8.442323187108326e-06,1.21
12,0.2766,8.220747538048345e-06,1.31
13,0.2729,7.999171888988361e-06,1.41
14,0.2739,7.77759623992838e-06,1.51
15,0.266,7.556020590868397e-06,1.61
16,0.2675,7.334444941808417e-06,1.71
17,0.2462,7.112869292748433e-06,1.81
18,0.2538,6.89129364368845e-06,1.91
19,0.2467,6.6697179946284685e-06,2.01
20,0.2398,6.448142345568487e-06,2.11
21,0.2406,6.226566696508506e-06,2.22
22,0.2287,6.004991047448522e-06,2.32
23,0.2328,5.783415398388541e-06,2.42
24,0.2339,5.561839749328558e-06,2.52
25,0.23,5.3402641002685765e-06,2.62
26,0.2266,5.118688451208596e-06,2.72
27,0.226,4.897112802148612e-06,2.82
28,0.226,4.67553715308863e-06,2.92
29,0.2203,4.4539615040286485e-06,3.02
30,0.2145,4.232385854968665e-06,3.12
31,0.2147,4.010810205908684e-06,3.22
32,0.2123,3.789234556848702e-06,3.32
33,0.2114,3.5676589077887192e-06,3.42
34,0.2093,3.3460832587287377e-06,3.52
35,0.2099,3.124507609668756e-06,3.63
36,0.2089,2.902931960608773e-06,3.73
37,0.2113,2.6813563115487913e-06,3.83
38,0.2117,2.4597806624888097e-06,3.93
39,0.2072,2.238205013428827e-06,4.03
40,0.2027,2.0166293643688453e-06,4.13
41,0.1971,1.7950537153088637e-06,4.23
42,0.1994,1.5734780662488808e-06,4.33
43,0.195,1.3519024171888993e-06,4.43
44,0.2008,1.1303267681289164e-06,4.53
45,0.2066,9.087511190689345e-07,4.63
46,0.2028,6.871754700089528e-07,4.73
47,0.2016,4.6559982094897005e-07,4.83
48,0.1987,2.440241718889883e-07,4.93
