,loss,learning_rate,epoch
0,0.6917,6.095330976472023e-08,0.0
1,0.6897,1.2190661952944046e-07,0.01
2,0.6815,1.8285992929416066e-07,0.01
3,0.6505,2.438132390588809e-07,0.01
4,0.6159,3.047665488236011e-07,0.02
5,0.577,3.6571985858832133e-07,0.02
6,0.5439,4.266731683530416e-07,0.02
7,0.5097,4.876264781177618e-07,0.02
8,0.4875,5.485797878824821e-07,0.03
9,0.4683,6.095330976472022e-07,0.03
10,0.4493,6.704864074119226e-07,0.03
11,0.4336,7.314397171766427e-07,0.04
12,0.4191,7.923930269413629e-07,0.04
13,0.4079,8.533463367060832e-07,0.04
14,0.4024,9.142996464708034e-07,0.05
15,0.3876,9.752529562355237e-07,0.05
16,0.3864,1.036206266000244e-06,0.05
17,0.3717,1.0971595757649642e-06,0.05
18,0.377,1.1581128855296842e-06,0.06
19,0.3694,1.2190661952944045e-06,0.06
20,0.3564,1.280019505059125e-06,0.06
21,0.3602,1.3409728148238452e-06,0.07
22,0.3573,1.401926124588565e-06,0.07
23,0.3582,1.4628794343532853e-06,0.07
24,0.3535,1.5238327441180056e-06,0.08
25,0.3465,1.5847860538827258e-06,0.08
26,0.3461,1.645739363647446e-06,0.08
27,0.3356,1.7066926734121663e-06,0.09
28,0.3381,1.7676459831768866e-06,0.09
29,0.3237,1.8285992929416069e-06,0.09
30,0.3277,1.8895526027063271e-06,0.09
31,0.33,1.9505059124710474e-06,0.1
32,0.3271,2.0114592222357676e-06,0.1
33,0.3263,2.072412532000488e-06,0.1
34,0.3169,2.133365841765208e-06,0.11
35,0.3159,2.1943191515299284e-06,0.11
36,0.316,2.2552724612946486e-06,0.11
37,0.3088,2.3162257710593685e-06,0.12
38,0.3021,2.3771790808240887e-06,0.12
39,0.3086,2.438132390588809e-06,0.12
40,0.3088,2.4990857003535293e-06,0.12
41,0.3032,2.56003901011825e-06,0.13
42,0.3014,2.62099231988297e-06,0.13
43,0.2995,2.6819456296476904e-06,0.13
44,0.294,2.7428989394124107e-06,0.14
45,0.2936,2.80385224917713e-06,0.14
46,0.2873,2.8648055589418504e-06,0.14
47,0.2898,2.9257588687065706e-06,0.15
48,0.2845,2.986712178471291e-06,0.15
49,0.2873,3.047665488236011e-06,0.15
50,0.2784,3.1086187980007314e-06,0.16
51,0.2782,3.1695721077654516e-06,0.16
52,0.2731,3.230525417530172e-06,0.16
53,0.266,3.291478727294892e-06,0.16
54,0.2663,3.3524320370596124e-06,0.17
55,0.2634,3.4133853468243327e-06,0.17
56,0.2664,3.474338656589053e-06,0.17
57,0.256,3.535291966353773e-06,0.18
58,0.2551,3.5962452761184934e-06,0.18
59,0.2562,3.6571985858832137e-06,0.18
60,0.2505,3.718151895647934e-06,0.19
61,0.2416,3.7791052054126542e-06,0.19
62,0.2482,3.840058515177375e-06,0.19
63,0.2478,3.901011824942095e-06,0.2
64,0.2378,3.961965134706815e-06,0.2
65,0.2452,4.022918444471535e-06,0.2
66,0.2376,4.083871754236255e-06,0.2
67,0.2444,4.144825064000976e-06,0.21
68,0.2292,4.205778373765696e-06,0.21
69,0.2314,4.266731683530416e-06,0.21
70,0.2301,4.327684993295136e-06,0.22
71,0.2294,4.388638303059857e-06,0.22
72,0.2288,4.449591612824577e-06,0.22
73,0.2328,4.510544922589297e-06,0.23
74,0.227,4.571498232354017e-06,0.23
75,0.2226,4.632451542118737e-06,0.23
76,0.2243,4.693404851883458e-06,0.23
77,0.2211,4.7543581616481775e-06,0.24
78,0.2135,4.815311471412898e-06,0.24
79,0.207,4.876264781177618e-06,0.24
80,0.2109,4.937218090942339e-06,0.25
81,0.2185,4.9981714007070585e-06,0.25
82,0.2111,5.059124710471779e-06,0.25
83,0.2079,5.1200780202365e-06,0.26
84,0.207,5.18103133000122e-06,0.26
85,0.2133,5.24198463976594e-06,0.26
86,0.2145,5.30293794953066e-06,0.27
87,0.2107,5.363891259295381e-06,0.27
88,0.2024,5.424844569060101e-06,0.27
89,0.201,5.485797878824821e-06,0.27
90,0.2009,5.546751188589541e-06,0.28
91,0.2051,5.60770449835426e-06,0.28
92,0.2018,5.668657808118982e-06,0.28
93,0.2041,5.729611117883701e-06,0.29
94,0.2083,5.790564427648422e-06,0.29
95,0.1993,5.851517737413141e-06,0.29
96,0.1984,5.912471047177863e-06,0.3
97,0.1897,5.973424356942582e-06,0.3
98,0.1945,6.0343776667073024e-06,0.3
99,0.205,6.095330976472022e-06,0.3
100,0.1891,6.156284286236743e-06,0.31
101,0.1952,6.217237596001463e-06,0.31
102,0.1859,6.2781909057661835e-06,0.31
103,0.1963,6.339144215530903e-06,0.32
104,0.1928,6.400097525295624e-06,0.32
105,0.1865,6.461050835060344e-06,0.32
106,0.1839,6.5220041448250645e-06,0.33
107,0.1815,6.582957454589784e-06,0.33
108,0.1861,6.643910764354505e-06,0.33
109,0.1982,6.704864074119225e-06,0.34
110,0.202,6.7658173838839455e-06,0.34
111,0.1848,6.826770693648665e-06,0.34
112,0.1818,6.887724003413386e-06,0.34
113,0.1807,6.948677313178106e-06,0.35
114,0.1866,7.0096306229428265e-06,0.35
115,0.1831,7.070583932707546e-06,0.35
116,0.1788,7.131537242472267e-06,0.36
117,0.1806,7.192490552236987e-06,0.36
118,0.1758,7.2534438620017076e-06,0.36
119,0.1819,7.314397171766427e-06,0.37
120,0.1719,7.375350481531148e-06,0.37
121,0.1752,7.436303791295868e-06,0.37
122,0.1872,7.497257101060588e-06,0.37
123,0.1754,7.5582104108253084e-06,0.38
124,0.1675,7.619163720590028e-06,0.38
125,0.1737,7.68011703035475e-06,0.38
126,0.1766,7.741070340119469e-06,0.39
127,0.1736,7.80202364988419e-06,0.39
128,0.183,7.862976959648908e-06,0.39
129,0.1783,7.92393026941363e-06,0.4
130,0.1725,7.98488357917835e-06,0.4
131,0.1682,8.04583688894307e-06,0.4
132,0.1754,8.10679019870779e-06,0.41
133,0.175,8.16774350847251e-06,0.41
134,0.1712,8.22869681823723e-06,0.41
135,0.1713,8.289650128001952e-06,0.41
136,0.1744,8.35060343776667e-06,0.42
137,0.1644,8.411556747531391e-06,0.42
138,0.1683,8.472510057296112e-06,0.42
139,0.172,8.533463367060833e-06,0.43
140,0.1674,8.594416676825552e-06,0.43
141,0.1678,8.655369986590272e-06,0.43
142,0.1643,8.716323296354993e-06,0.44
143,0.1682,8.777276606119714e-06,0.44
144,0.1631,8.838229915884433e-06,0.44
145,0.163,8.899183225649153e-06,0.44
146,0.1758,8.960136535413874e-06,0.45
147,0.1718,9.021089845178595e-06,0.45
148,0.1679,9.082043154943314e-06,0.45
149,0.169,9.142996464708034e-06,0.46
150,0.1695,9.203949774472755e-06,0.46
151,0.1639,9.264903084237474e-06,0.46
152,0.162,9.325856394002195e-06,0.47
153,0.167,9.386809703766915e-06,0.47
154,0.1613,9.447763013531636e-06,0.47
155,0.1617,9.508716323296355e-06,0.48
156,0.1629,9.569669633061076e-06,0.48
157,0.163,9.630622942825796e-06,0.48
158,0.1693,9.691576252590517e-06,0.48
159,0.1593,9.752529562355236e-06,0.49
160,0.1599,9.813482872119957e-06,0.49
161,0.1623,9.874436181884677e-06,0.49
162,0.1544,9.935389491649398e-06,0.5
