,loss,learning_rate,epoch
0,0.678,2.908667830133799e-07,0.01
1,0.6483,5.817335660267598e-07,0.03
2,0.5607,8.726003490401396e-07,0.04
3,0.4917,1.1634671320535195e-06,0.06
4,0.4528,1.4543339150668994e-06,0.07
5,0.4351,1.7452006980802793e-06,0.09
6,0.4005,2.0360674810936594e-06,0.1
7,0.3899,2.326934264107039e-06,0.12
8,0.3752,2.617801047120419e-06,0.13
9,0.3696,2.9086678301337988e-06,0.15
10,0.3586,3.199534613147179e-06,0.16
11,0.343,3.4904013961605585e-06,0.17
12,0.3403,3.7812681791739386e-06,0.19
13,0.3279,4.072134962187319e-06,0.2
14,0.3292,4.363001745200699e-06,0.22
15,0.3238,4.653868528214078e-06,0.23
16,0.3222,4.944735311227458e-06,0.25
17,0.3079,5.235602094240838e-06,0.26
18,0.288,5.526468877254218e-06,0.28
19,0.2968,5.8173356602675976e-06,0.29
20,0.2942,6.1082024432809785e-06,0.31
21,0.2835,6.399069226294358e-06,0.32
22,0.2696,6.689936009307738e-06,0.33
23,0.2732,6.980802792321117e-06,0.35
24,0.272,7.271669575334498e-06,0.36
25,0.2537,7.562536358347877e-06,0.38
26,0.2493,7.853403141361257e-06,0.39
27,0.2513,8.144269924374637e-06,0.41
28,0.2333,8.435136707388018e-06,0.42
29,0.2368,8.726003490401398e-06,0.44
30,0.239,9.016870273414778e-06,0.45
31,0.2269,9.307737056428156e-06,0.47
32,0.2256,9.598603839441538e-06,0.48
33,0.2252,9.889470622454916e-06,0.49
34,0.2146,9.980159679348353e-06,0.51
35,0.2172,9.948159162168278e-06,0.52
36,0.2187,9.916158644988203e-06,0.54
37,0.2077,9.884158127808127e-06,0.55
38,0.2147,9.852157610628052e-06,0.57
39,0.1997,9.820157093447975e-06,0.58
40,0.1993,9.7881565762679e-06,0.6
41,0.2078,9.756156059087824e-06,0.61
42,0.208,9.724155541907749e-06,0.63
43,0.206,9.692155024727672e-06,0.64
44,0.2032,9.660154507547597e-06,0.65
45,0.2029,9.628153990367522e-06,0.67
46,0.1996,9.596153473187447e-06,0.68
47,0.1924,9.56415295600737e-06,0.7
48,0.1948,9.532152438827296e-06,0.71
49,0.1954,9.50015192164722e-06,0.73
50,0.1986,9.468151404467144e-06,0.74
51,0.1902,9.436150887287068e-06,0.76
52,0.1815,9.404150370106993e-06,0.77
53,0.1853,9.372149852926916e-06,0.79
54,0.188,9.340149335746841e-06,0.8
55,0.1875,9.308148818566766e-06,0.81
56,0.1789,9.27614830138669e-06,0.83
57,0.1803,9.244147784206615e-06,0.84
58,0.187,9.212147267026538e-06,0.86
59,0.1821,9.180146749846463e-06,0.87
60,0.1752,9.148146232666387e-06,0.89
61,0.1838,9.116145715486312e-06,0.9
62,0.1826,9.084145198306235e-06,0.92
63,0.1746,9.05214468112616e-06,0.93
64,0.1755,9.020144163946085e-06,0.95
65,0.1765,8.988143646766009e-06,0.96
66,0.17,8.956143129585934e-06,0.97
67,0.1778,8.924142612405857e-06,0.99
68,0.1712,8.892142095225782e-06,1.0
69,0.1651,8.860141578045706e-06,1.02
70,0.1669,8.828141060865631e-06,1.03
71,0.1595,8.796140543685554e-06,1.05
72,0.1672,8.76414002650548e-06,1.06
73,0.1687,8.732139509325403e-06,1.08
74,0.1596,8.70013899214533e-06,1.09
75,0.1705,8.668138474965253e-06,1.11
76,0.1709,8.636137957785178e-06,1.12
77,0.1584,8.604137440605101e-06,1.13
78,0.1633,8.572136923425027e-06,1.15
79,0.1605,8.54013640624495e-06,1.16
80,0.1537,8.508135889064875e-06,1.18
81,0.1611,8.4761353718848e-06,1.19
82,0.1622,8.444134854704724e-06,1.21
83,0.1585,8.412134337524649e-06,1.22
84,0.1589,8.380133820344572e-06,1.24
85,0.1537,8.348133303164497e-06,1.25
86,0.1608,8.31613278598442e-06,1.27
87,0.1511,8.284132268804346e-06,1.28
88,0.1544,8.252131751624269e-06,1.29
89,0.1592,8.220131234444194e-06,1.31
90,0.1518,8.188130717264118e-06,1.32
91,0.1542,8.156130200084043e-06,1.34
92,0.1597,8.124129682903968e-06,1.35
93,0.1511,8.092129165723891e-06,1.37
94,0.1591,8.060128648543816e-06,1.38
95,0.1549,8.02812813136374e-06,1.4
96,0.1515,7.996127614183665e-06,1.41
97,0.1567,7.964127097003588e-06,1.43
98,0.1579,7.932126579823513e-06,1.44
99,0.1567,7.900126062643437e-06,1.45
100,0.1494,7.868125545463362e-06,1.47
101,0.1512,7.836125028283285e-06,1.48
102,0.1577,7.80412451110321e-06,1.5
103,0.155,7.772123993923135e-06,1.51
104,0.1523,7.740123476743059e-06,1.53
105,0.1427,7.708122959562984e-06,1.54
106,0.1507,7.676122442382907e-06,1.56
107,0.1376,7.644121925202832e-06,1.57
108,0.1546,7.612121408022756e-06,1.59
109,0.1453,7.580120890842681e-06,1.6
110,0.1508,7.548120373662604e-06,1.61
111,0.1502,7.516119856482529e-06,1.63
112,0.1425,7.484119339302453e-06,1.64
113,0.1448,7.452118822122377e-06,1.66
114,0.1471,7.420118304942301e-06,1.67
115,0.1455,7.388117787762227e-06,1.69
116,0.1433,7.35611727058215e-06,1.7
117,0.1512,7.3241167534020755e-06,1.72
118,0.149,7.292116236222e-06,1.73
119,0.1482,7.260115719041923e-06,1.75
120,0.1473,7.228115201861848e-06,1.76
121,0.1439,7.196114684681772e-06,1.77
122,0.1523,7.164114167501697e-06,1.79
123,0.1511,7.132113650321622e-06,1.8
124,0.1563,7.100113133141546e-06,1.82
125,0.1425,7.06811261596147e-06,1.83
126,0.1414,7.0361120987813946e-06,1.85
127,0.1485,7.004111581601318e-06,1.86
128,0.142,6.972111064421243e-06,1.88
129,0.1362,6.940110547241168e-06,1.89
130,0.1513,6.9081100300610916e-06,1.91
131,0.1433,6.876109512881017e-06,1.92
132,0.1388,6.84410899570094e-06,1.93
133,0.1417,6.812108478520864e-06,1.95
134,0.1467,6.78010796134079e-06,1.96
135,0.1466,6.7481074441607145e-06,1.98
136,0.1474,6.716106926980639e-06,1.99
137,0.1365,6.684106409800563e-06,2.01
138,0.1374,6.652105892620487e-06,2.02
139,0.1318,6.620105375440411e-06,2.04
140,0.1373,6.588104858260336e-06,2.05
141,0.1359,6.556104341080259e-06,2.07
142,0.138,6.524103823900185e-06,2.08
143,0.1395,6.492103306720108e-06,2.09
144,0.1288,6.4601027895400335e-06,2.11
145,0.1297,6.428102272359957e-06,2.12
146,0.137,6.396101755179882e-06,2.14
147,0.1338,6.364101237999805e-06,2.15
148,0.1319,6.3321007208197305e-06,2.17
149,0.136,6.300100203639656e-06,2.18
150,0.1311,6.268099686459579e-06,2.2
151,0.135,6.236099169279503e-06,2.21
