,loss,learning_rate,epoch
0,0.6738,6.923769300006924e-08,0.0
1,0.6724,1.384753860001385e-07,0.01
2,0.6622,2.0771307900020773e-07,0.01
3,0.6377,2.76950772000277e-07,0.01
4,0.607,3.461884650003462e-07,0.02
5,0.572,4.1542615800041546e-07,0.02
6,0.5372,4.846638510004847e-07,0.02
7,0.5039,5.53901544000554e-07,0.03
8,0.4793,6.231392370006231e-07,0.03
9,0.4652,6.923769300006924e-07,0.03
10,0.4508,7.616146230007616e-07,0.04
11,0.4334,8.308523160008309e-07,0.04
12,0.419,9.000900090009001e-07,0.05
13,0.4116,9.693277020009693e-07,0.05
14,0.4024,1.0385653950010387e-06,0.05
15,0.3868,1.107803088001108e-06,0.06
16,0.3787,1.177040781001177e-06,0.06
17,0.3741,1.2462784740012463e-06,0.06
18,0.3639,1.3155161670013155e-06,0.07
19,0.3682,1.3847538600013849e-06,0.07
20,0.3574,1.4539915530014543e-06,0.07
21,0.3612,1.5232292460015233e-06,0.08
22,0.3579,1.5924669390015927e-06,0.08
23,0.3495,1.6617046320016619e-06,0.08
24,0.3454,1.730942325001731e-06,0.09
25,0.3418,1.8001800180018002e-06,0.09
26,0.3375,1.8694177110018696e-06,0.09
27,0.3331,1.9386554040019386e-06,0.1
28,0.3269,2.007893097002008e-06,0.1
29,0.3276,2.0771307900020774e-06,0.1
30,0.3178,2.146368483002147e-06,0.11
31,0.3182,2.215606176002216e-06,0.11
32,0.3189,2.284843869002285e-06,0.11
33,0.3113,2.354081562002354e-06,0.12
34,0.3061,2.4233192550024236e-06,0.12
35,0.3114,2.4925569480024926e-06,0.12
36,0.2968,2.561794641002562e-06,0.13
37,0.2993,2.631032334002631e-06,0.13
38,0.2983,2.7002700270027004e-06,0.14
39,0.2934,2.7695077200027698e-06,0.14
40,0.2843,2.838745413002839e-06,0.14
41,0.2899,2.9079831060029086e-06,0.15
42,0.2769,2.977220799002977e-06,0.15
43,0.2791,3.0464584920030465e-06,0.15
44,0.2746,3.115696185003116e-06,0.16
45,0.2779,3.1849338780031853e-06,0.16
46,0.267,3.2541715710032547e-06,0.16
47,0.2601,3.3234092640033237e-06,0.17
48,0.2646,3.392646957003393e-06,0.17
49,0.2568,3.461884650003462e-06,0.17
50,0.2513,3.5311223430035315e-06,0.18
51,0.2584,3.6003600360036005e-06,0.18
52,0.2548,3.66959772900367e-06,0.18
53,0.2465,3.7388354220037393e-06,0.19
54,0.2493,3.8080731150038087e-06,0.19
55,0.2384,3.877310808003877e-06,0.19
56,0.2419,3.946548501003947e-06,0.2
57,0.241,4.015786194004016e-06,0.2
58,0.233,4.085023887004085e-06,0.2
59,0.2341,4.154261580004155e-06,0.21
60,0.2377,4.223499273004224e-06,0.21
61,0.2339,4.292736966004294e-06,0.21
62,0.2301,4.361974659004362e-06,0.22
63,0.2287,4.431212352004432e-06,0.22
64,0.2238,4.500450045004501e-06,0.23
65,0.2251,4.56968773800457e-06,0.23
66,0.223,4.638925431004639e-06,0.23
67,0.2247,4.708163124004708e-06,0.24
68,0.222,4.777400817004777e-06,0.24
69,0.2157,4.846638510004847e-06,0.24
70,0.2224,4.915876203004916e-06,0.25
71,0.2128,4.985113896004985e-06,0.25
72,0.2242,5.054351589005054e-06,0.25
73,0.212,5.123589282005124e-06,0.26
74,0.2126,5.192826975005193e-06,0.26
75,0.2177,5.262064668005262e-06,0.26
76,0.2146,5.331302361005332e-06,0.27
77,0.2078,5.400540054005401e-06,0.27
78,0.2023,5.4697777470054705e-06,0.27
79,0.2026,5.5390154400055395e-06,0.28
80,0.2024,5.6082531330056085e-06,0.28
81,0.2004,5.677490826005678e-06,0.28
82,0.2042,5.746728519005747e-06,0.29
83,0.1952,5.815966212005817e-06,0.29
84,0.2027,5.885203905005886e-06,0.29
85,0.1973,5.954441598005954e-06,0.3
86,0.2002,6.023679291006024e-06,0.3
87,0.2059,6.092916984006093e-06,0.3
88,0.2056,6.162154677006162e-06,0.31
89,0.1966,6.231392370006232e-06,0.31
90,0.194,6.300630063006301e-06,0.32
91,0.195,6.369867756006371e-06,0.32
92,0.1967,6.43910544900644e-06,0.32
93,0.187,6.5083431420065095e-06,0.33
94,0.1922,6.5775808350065784e-06,0.33
95,0.1906,6.6468185280066474e-06,0.33
96,0.1977,6.716056221006717e-06,0.34
97,0.1863,6.785293914006786e-06,0.34
98,0.1916,6.854531607006854e-06,0.34
99,0.189,6.923769300006924e-06,0.35
100,0.1837,6.993006993006993e-06,0.35
101,0.1865,7.062244686007063e-06,0.35
102,0.1871,7.131482379007132e-06,0.36
103,0.1848,7.200720072007201e-06,0.36
104,0.1797,7.269957765007271e-06,0.36
105,0.1779,7.33919545800734e-06,0.37
106,0.1935,7.40843315100741e-06,0.37
107,0.184,7.4776708440074786e-06,0.37
108,0.19,7.5469085370075475e-06,0.38
109,0.1859,7.616146230007617e-06,0.38
110,0.1824,7.685383923007687e-06,0.38
111,0.1801,7.754621616007754e-06,0.39
112,0.1863,7.823859309007823e-06,0.39
113,0.1822,7.893097002007894e-06,0.39
114,0.1739,7.962334695007963e-06,0.4
115,0.1731,8.031572388008032e-06,0.4
116,0.1683,8.100810081008101e-06,0.41
117,0.1656,8.17004777400817e-06,0.41
118,0.176,8.23928546700824e-06,0.41
119,0.1783,8.30852316000831e-06,0.42
120,0.1737,8.377760853008379e-06,0.42
121,0.1822,8.446998546008448e-06,0.42
122,0.1645,8.516236239008517e-06,0.43
123,0.1707,8.585473932008587e-06,0.43
124,0.1775,8.654711625008655e-06,0.43
125,0.1809,8.723949318008724e-06,0.44
126,0.173,8.793187011008794e-06,0.44
127,0.1694,8.862424704008863e-06,0.44
128,0.1691,8.931662397008932e-06,0.45
129,0.168,9.000900090009001e-06,0.45
130,0.1683,9.07013778300907e-06,0.45
131,0.1664,9.13937547600914e-06,0.46
132,0.1673,9.20861316900921e-06,0.46
133,0.1736,9.277850862009279e-06,0.46
134,0.1606,9.347088555009348e-06,0.47
135,0.1735,9.416326248009417e-06,0.47
136,0.1688,9.485563941009487e-06,0.47
137,0.1639,9.554801634009555e-06,0.48
138,0.1704,9.624039327009624e-06,0.48
