,loss,learning_rate,epoch
0,0.6715,9.124087591240876e-07,0.05
1,0.5611,1.8248175182481753e-06,0.09
2,0.4814,2.737226277372263e-06,0.14
3,0.4399,3.6496350364963505e-06,0.18
4,0.4099,4.562043795620438e-06,0.23
5,0.3946,5.474452554744526e-06,0.27
6,0.3905,6.386861313868614e-06,0.32
7,0.3853,7.299270072992701e-06,0.37
8,0.3811,8.21167883211679e-06,0.41
9,0.3664,9.124087591240877e-06,0.46
10,0.3533,9.995983365452886e-06,0.5
11,0.3521,9.895567501775029e-06,0.55
12,0.346,9.79515163809717e-06,0.59
13,0.3389,9.694735774419313e-06,0.64
14,0.328,9.594319910741456e-06,0.68
15,0.3228,9.493904047063598e-06,0.73
16,0.322,9.39348818338574e-06,0.78
17,0.3054,9.293072319707882e-06,0.82
18,0.3086,9.192656456030024e-06,0.87
19,0.2983,9.092240592352166e-06,0.91
20,0.2901,8.99182472867431e-06,0.96
21,0.2948,8.89140886499645e-06,1.0
22,0.2837,8.790993001318593e-06,1.05
23,0.2809,8.690577137640735e-06,1.1
24,0.2779,8.590161273962877e-06,1.14
25,0.2779,8.489745410285019e-06,1.19
26,0.2763,8.389329546607161e-06,1.23
27,0.2637,8.288913682929304e-06,1.28
28,0.2609,8.188497819251447e-06,1.32
29,0.2599,8.088081955573588e-06,1.37
30,0.2639,7.98766609189573e-06,1.41
31,0.2556,7.887250228217872e-06,1.46
32,0.2525,7.786834364540015e-06,1.51
33,0.2539,7.686418500862156e-06,1.55
34,0.2488,7.586002637184299e-06,1.6
35,0.2474,7.485586773506441e-06,1.64
36,0.2464,7.385170909828583e-06,1.69
37,0.2415,7.284755046150724e-06,1.73
38,0.245,7.184339182472867e-06,1.78
39,0.2343,7.08392331879501e-06,1.83
40,0.2322,6.983507455117152e-06,1.87
41,0.2354,6.883091591439294e-06,1.92
42,0.2366,6.782675727761436e-06,1.96
43,0.2395,6.682259864083579e-06,2.01
44,0.2333,6.58184400040572e-06,2.05
45,0.2319,6.481428136727862e-06,2.1
46,0.2248,6.381012273050005e-06,2.15
47,0.226,6.280596409372147e-06,2.19
48,0.2227,6.180180545694289e-06,2.24
49,0.2159,6.079764682016431e-06,2.28
50,0.2278,5.979348818338575e-06,2.33
51,0.2152,5.878932954660716e-06,2.37
52,0.2295,5.778517090982858e-06,2.42
53,0.2255,5.678101227305001e-06,2.46
54,0.2096,5.5776853636271435e-06,2.51
55,0.2161,5.477269499949285e-06,2.56
56,0.2241,5.376853636271427e-06,2.6
57,0.2109,5.27643777259357e-06,2.65
58,0.2148,5.1760219089157124e-06,2.69
59,0.2145,5.075606045237853e-06,2.74
60,0.2097,4.975190181559996e-06,2.78
61,0.2136,4.8747743178821385e-06,2.83
62,0.2072,4.7743584542042805e-06,2.88
63,0.2081,4.673942590526423e-06,2.92
64,0.2144,4.5735267268485645e-06,2.97
65,0.2105,4.4731108631707065e-06,3.01
66,0.2056,4.372694999492849e-06,3.06
67,0.2011,4.2722791358149905e-06,3.1
68,0.2034,4.171863272137133e-06,3.15
69,0.1989,4.071447408459275e-06,3.19
70,0.1978,3.971031544781418e-06,3.24
71,0.2054,3.87061568110356e-06,3.29
72,0.1918,3.7701998174257027e-06,3.33
73,0.1957,3.6697839537478442e-06,3.38
74,0.1963,3.569368090069987e-06,3.42
75,0.198,3.4689522263921295e-06,3.47
76,0.1987,3.3685363627142707e-06,3.51
77,0.1961,3.2681204990364136e-06,3.56
78,0.1975,3.167704635358555e-06,3.61
79,0.2016,3.067288771680698e-06,3.65
80,0.1995,2.9668729080028396e-06,3.7
81,0.2029,2.8664570443249824e-06,3.74
82,0.1938,2.7660411806471236e-06,3.79
83,0.1938,2.665625316969267e-06,3.83
84,0.1966,2.5652094532914085e-06,3.88
85,0.2006,2.4647935896135513e-06,3.93
86,0.1951,2.3643777259356933e-06,3.97
87,0.1951,2.2639618622578358e-06,4.02
88,0.1904,2.1635459985799778e-06,4.06
89,0.1922,2.0631301349021193e-06,4.11
90,0.1925,1.962714271224262e-06,4.15
91,0.1861,1.8622984075464038e-06,4.2
92,0.196,1.7618825438685466e-06,4.24
93,0.1922,1.6614666801906887e-06,4.29
94,0.1893,1.561050816512831e-06,4.34
95,0.1878,1.460634952834973e-06,4.38
96,0.184,1.360219089157116e-06,4.43
97,0.1904,1.2598032254792575e-06,4.47
98,0.1879,1.1593873618014004e-06,4.52
99,0.1824,1.058971498123542e-06,4.56
100,0.1795,9.585556344456836e-07,4.61
101,0.1835,8.581397707678264e-07,4.66
102,0.178,7.577239070899682e-07,4.7
103,0.1926,6.57308043412111e-07,4.75
104,0.1855,5.568921797342526e-07,4.79
105,0.1845,4.5647631605639545e-07,4.84
106,0.1863,3.560604523785372e-07,4.88
107,0.1841,2.5564458870067995e-07,4.93
108,0.1823,1.552287250228217e-07,4.97
