,loss,learning_rate,epoch
0,0.7137,1.4742739200943537e-07,0.01
1,0.7095,2.9485478401887074e-07,0.01
2,0.6833,4.422821760283061e-07,0.02
3,0.5906,5.897095680377415e-07,0.03
4,0.5205,7.371369600471769e-07,0.04
5,0.4823,8.845643520566122e-07,0.04
6,0.4641,1.0319917440660475e-06,0.05
7,0.4394,1.179419136075483e-06,0.06
8,0.4229,1.3268465280849182e-06,0.07
9,0.4125,1.4742739200943538e-06,0.07
10,0.3965,1.6217013121037888e-06,0.08
11,0.3917,1.7691287041132245e-06,0.09
12,0.3833,1.9165560961226597e-06,0.1
13,0.3776,2.063983488132095e-06,0.1
14,0.3744,2.2114108801415305e-06,0.11
15,0.3718,2.358838272150966e-06,0.12
16,0.3576,2.506265664160401e-06,0.13
17,0.3529,2.6536930561698364e-06,0.13
18,0.3526,2.8011204481792718e-06,0.14
19,0.3431,2.9485478401887076e-06,0.15
20,0.3403,3.095975232198143e-06,0.15
21,0.3424,3.2434026242075776e-06,0.16
22,0.3346,3.390830016217013e-06,0.17
23,0.3232,3.538257408226449e-06,0.18
24,0.3276,3.6856848002358843e-06,0.18
25,0.3081,3.833112192245319e-06,0.19
26,0.3092,3.980539584254755e-06,0.2
27,0.3093,4.12796697626419e-06,0.21
28,0.3,4.275394368273625e-06,0.21
29,0.2979,4.422821760283061e-06,0.22
30,0.293,4.570249152292496e-06,0.23
31,0.2926,4.717676544301932e-06,0.24
32,0.285,4.865103936311367e-06,0.24
33,0.2729,5.012531328320802e-06,0.25
34,0.2742,5.159958720330238e-06,0.26
35,0.2748,5.307386112339673e-06,0.27
36,0.2718,5.454813504349109e-06,0.27
37,0.2634,5.6022408963585436e-06,0.28
38,0.2623,5.7496682883679786e-06,0.29
39,0.2578,5.897095680377415e-06,0.29
40,0.2579,6.044523072386849e-06,0.3
41,0.2428,6.191950464396286e-06,0.31
42,0.2465,6.33937785640572e-06,0.32
43,0.2439,6.486805248415155e-06,0.32
44,0.2489,6.634232640424592e-06,0.33
45,0.2417,6.781660032434026e-06,0.34
46,0.238,6.929087424443463e-06,0.35
47,0.243,7.076514816452898e-06,0.35
48,0.2349,7.223942208462334e-06,0.36
49,0.2281,7.371369600471769e-06,0.37
50,0.2276,7.518796992481203e-06,0.38
51,0.2316,7.666224384490639e-06,0.38
52,0.2326,7.813651776500074e-06,0.39
53,0.2134,7.96107916850951e-06,0.4
54,0.2128,8.108506560518945e-06,0.41
55,0.2196,8.25593395252838e-06,0.41
56,0.2147,8.403361344537815e-06,0.42
57,0.2126,8.55078873654725e-06,0.43
58,0.2066,8.698216128556687e-06,0.43
59,0.2158,8.845643520566122e-06,0.44
60,0.2135,8.993070912575557e-06,0.45
61,0.2045,9.140498304584992e-06,0.46
62,0.2094,9.287925696594427e-06,0.46
63,0.1952,9.435353088603864e-06,0.47
64,0.2035,9.582780480613299e-06,0.48
65,0.2063,9.730207872622734e-06,0.49
66,0.1925,9.877635264632169e-06,0.49
67,0.1965,9.997243107769426e-06,0.5
68,0.1979,9.981026094648387e-06,0.51
69,0.1946,9.96480908152735e-06,0.52
70,0.1957,9.948592068406311e-06,0.52
71,0.1849,9.932375055285273e-06,0.53
