,loss,learning_rate,epoch
0,0.7,1.3736263736263737e-07,0.01
1,0.6907,2.7472527472527475e-07,0.01
2,0.6425,4.120879120879121e-07,0.02
3,0.5909,5.494505494505495e-07,0.03
4,0.5338,6.868131868131869e-07,0.03
5,0.4962,8.241758241758242e-07,0.04
6,0.4698,9.615384615384617e-07,0.05
7,0.4525,1.098901098901099e-06,0.05
8,0.4297,1.2362637362637365e-06,0.06
9,0.4133,1.3736263736263738e-06,0.07
10,0.4056,1.510989010989011e-06,0.08
11,0.3912,1.6483516483516484e-06,0.08
12,0.3826,1.7857142857142859e-06,0.09
13,0.3859,1.9230769230769234e-06,0.1
14,0.3774,2.0604395604395607e-06,0.1
15,0.3767,2.197802197802198e-06,0.11
16,0.3678,2.3351648351648353e-06,0.12
17,0.3635,2.472527472527473e-06,0.12
18,0.3499,2.6098901098901103e-06,0.13
19,0.3464,2.7472527472527476e-06,0.14
20,0.3407,2.8846153846153845e-06,0.14
21,0.3345,3.021978021978022e-06,0.15
22,0.3362,3.1593406593406595e-06,0.16
23,0.3198,3.2967032967032968e-06,0.16
24,0.308,3.4340659340659345e-06,0.17
25,0.305,3.5714285714285718e-06,0.18
26,0.2997,3.708791208791209e-06,0.19
27,0.2982,3.846153846153847e-06,0.19
28,0.2912,3.983516483516483e-06,0.2
29,0.285,4.120879120879121e-06,0.21
30,0.2889,4.258241758241759e-06,0.21
31,0.2796,4.395604395604396e-06,0.22
32,0.2721,4.532967032967033e-06,0.23
33,0.2719,4.6703296703296706e-06,0.23
34,0.2712,4.807692307692308e-06,0.24
35,0.2561,4.945054945054946e-06,0.25
36,0.2548,5.0824175824175824e-06,0.25
37,0.2551,5.219780219780221e-06,0.26
38,0.2458,5.357142857142857e-06,0.27
39,0.2486,5.494505494505495e-06,0.27
40,0.2502,5.6318681318681325e-06,0.28
41,0.2485,5.769230769230769e-06,0.29
42,0.2372,5.906593406593407e-06,0.3
43,0.2478,6.043956043956044e-06,0.3
44,0.2381,6.181318681318682e-06,0.31
45,0.242,6.318681318681319e-06,0.32
46,0.2316,6.456043956043957e-06,0.32
47,0.2247,6.5934065934065935e-06,0.33
48,0.2138,6.730769230769232e-06,0.34
49,0.219,6.868131868131869e-06,0.34
50,0.2196,7.005494505494505e-06,0.35
51,0.2196,7.1428571428571436e-06,0.36
52,0.2227,7.280219780219781e-06,0.36
53,0.2194,7.417582417582418e-06,0.37
54,0.2149,7.5549450549450554e-06,0.38
55,0.2126,7.692307692307694e-06,0.38
56,0.2083,7.829670329670331e-06,0.39
57,0.2165,7.967032967032966e-06,0.4
58,0.207,8.104395604395605e-06,0.41
59,0.2027,8.241758241758243e-06,0.41
60,0.2103,8.37912087912088e-06,0.42
61,0.2047,8.516483516483517e-06,0.43
62,0.2081,8.653846153846155e-06,0.43
63,0.1984,8.791208791208792e-06,0.44
64,0.2078,8.92857142857143e-06,0.45
65,0.2027,9.065934065934067e-06,0.45
66,0.2029,9.203296703296704e-06,0.46
67,0.1981,9.340659340659341e-06,0.47
68,0.1929,9.478021978021978e-06,0.47
69,0.1927,9.615384615384616e-06,0.48
70,0.1854,9.752747252747253e-06,0.49
71,0.1917,9.890109890109892e-06,0.49
72,0.188,9.996977791345494e-06,0.5
73,0.1838,9.98186674807296e-06,0.51
74,0.1824,9.966755704800428e-06,0.52
75,0.1866,9.951644661527895e-06,0.52
76,0.1865,9.936533618255361e-06,0.53
77,0.1794,9.921422574982829e-06,0.54
78,0.1843,9.906311531710296e-06,0.54
79,0.1778,9.891200488437762e-06,0.55
80,0.1845,9.87608944516523e-06,0.56
81,0.178,9.860978401892697e-06,0.56
82,0.1816,9.845867358620163e-06,0.57
83,0.1768,9.83075631534763e-06,0.58
84,0.1748,9.815645272075098e-06,0.58
85,0.1741,9.800534228802564e-06,0.59
86,0.1812,9.785423185530032e-06,0.6
87,0.166,9.7703121422575e-06,0.6
88,0.1666,9.755201098984965e-06,0.61
89,0.1806,9.740090055712433e-06,0.62
90,0.1791,9.7249790124399e-06,0.63
91,0.1681,9.709867969167366e-06,0.63
92,0.1742,9.694756925894834e-06,0.64
93,0.1703,9.679645882622301e-06,0.65
94,0.1672,9.664534839349767e-06,0.65
95,0.1747,9.649423796077235e-06,0.66
96,0.1701,9.634312752804702e-06,0.67
97,0.1651,9.619201709532168e-06,0.67
98,0.1654,9.604090666259636e-06,0.68
99,0.1609,9.588979622987103e-06,0.69
100,0.1656,9.57386857971457e-06,0.69
101,0.1649,9.558757536442037e-06,0.7
102,0.1684,9.543646493169504e-06,0.71
103,0.1625,9.52853544989697e-06,0.71
104,0.1637,9.513424406624438e-06,0.72
105,0.1614,9.498313363351905e-06,0.73
106,0.1622,9.483202320079371e-06,0.73
107,0.1602,9.468091276806839e-06,0.74
108,0.1556,9.452980233534306e-06,0.75
109,0.1648,9.437869190261772e-06,0.76
110,0.1575,9.42275814698924e-06,0.76
111,0.1537,9.407647103716707e-06,0.77
112,0.1623,9.392536060444173e-06,0.78
113,0.1573,9.377425017171641e-06,0.78
114,0.162,9.362313973899108e-06,0.79
115,0.1536,9.347202930626574e-06,0.8
116,0.1601,9.332091887354042e-06,0.8
117,0.1536,9.31698084408151e-06,0.81
118,0.1542,9.301869800808975e-06,0.82
119,0.1577,9.286758757536443e-06,0.82
120,0.1514,9.27164771426391e-06,0.83
121,0.1483,9.256536670991376e-06,0.84
122,0.1537,9.241425627718844e-06,0.84
123,0.154,9.226314584446311e-06,0.85
124,0.1549,9.211203541173777e-06,0.86
125,0.154,9.196092497901245e-06,0.87
126,0.1542,9.180981454628712e-06,0.87
127,0.1508,9.165870411356178e-06,0.88
128,0.1497,9.150759368083646e-06,0.89
129,0.1539,9.135648324811113e-06,0.89
130,0.1604,9.12053728153858e-06,0.9
131,0.1487,9.105426238266047e-06,0.91
132,0.1484,9.090315194993514e-06,0.91
133,0.1568,9.07520415172098e-06,0.92
134,0.1486,9.060093108448448e-06,0.93
135,0.15,9.044982065175915e-06,0.93
136,0.1487,9.029871021903381e-06,0.94
137,0.1368,9.014759978630849e-06,0.95
138,0.1486,8.999648935358316e-06,0.95
139,0.1509,8.984537892085782e-06,0.96
140,0.1572,8.96942684881325e-06,0.97
141,0.1432,8.954315805540717e-06,0.98
142,0.1471,8.939204762268183e-06,0.98
143,0.1424,8.924093718995651e-06,0.99
144,0.1376,8.908982675723118e-06,1.0
145,0.1414,8.893871632450584e-06,1.0
146,0.148,8.878760589178052e-06,1.01
147,0.1395,8.86364954590552e-06,1.02
148,0.1412,8.848538502632985e-06,1.02
149,0.1468,8.833427459360453e-06,1.03
150,0.1441,8.81831641608792e-06,1.04
151,0.1391,8.803205372815386e-06,1.04
152,0.1404,8.788094329542854e-06,1.05
153,0.1388,8.772983286270322e-06,1.06
154,0.1408,8.757872242997787e-06,1.06
155,0.1419,8.742761199725255e-06,1.07
156,0.1407,8.727650156452723e-06,1.08
157,0.1297,8.712539113180188e-06,1.09
158,0.1393,8.697428069907656e-06,1.09
159,0.1425,8.682317026635124e-06,1.1
160,0.1415,8.66720598336259e-06,1.11
161,0.1369,8.652094940090057e-06,1.11
162,0.1381,8.636983896817525e-06,1.12
163,0.1374,8.62187285354499e-06,1.13
164,0.1485,8.606761810272458e-06,1.13
165,0.1352,8.591650766999926e-06,1.14
166,0.1362,8.576539723727391e-06,1.15
167,0.1351,8.561428680454859e-06,1.15
168,0.1364,8.546317637182327e-06,1.16
169,0.139,8.531206593909792e-06,1.17
170,0.1386,8.51609555063726e-06,1.17
171,0.1307,8.500984507364728e-06,1.18
172,0.1369,8.485873464092193e-06,1.19
173,0.1292,8.470762420819661e-06,1.2
174,0.1305,8.455651377547129e-06,1.2
175,0.1363,8.440540334274594e-06,1.21
176,0.139,8.425429291002062e-06,1.22
177,0.1329,8.41031824772953e-06,1.22
178,0.1315,8.395207204456995e-06,1.23
179,0.1327,8.380096161184463e-06,1.24
180,0.129,8.364985117911929e-06,1.24
181,0.1335,8.349874074639396e-06,1.25
182,0.1287,8.334763031366864e-06,1.26
183,0.1359,8.319651988094332e-06,1.26
184,0.1369,8.304540944821797e-06,1.27
185,0.1325,8.289429901549265e-06,1.28
186,0.1293,8.274318858276731e-06,1.28
187,0.1407,8.259207815004198e-06,1.29
188,0.1352,8.244096771731666e-06,1.3
189,0.1316,8.228985728459134e-06,1.31
190,0.1343,8.2138746851866e-06,1.31
191,0.1313,8.198763641914067e-06,1.32
192,0.1402,8.183652598641533e-06,1.33
193,0.138,8.168541555369e-06,1.33
194,0.1338,8.153430512096468e-06,1.34
195,0.1374,8.138319468823936e-06,1.35
196,0.127,8.123208425551401e-06,1.35
197,0.1322,8.108097382278869e-06,1.36
198,0.1268,8.092986339006335e-06,1.37
199,0.1267,8.077875295733802e-06,1.37
200,0.1293,8.06276425246127e-06,1.38
201,0.1226,8.047653209188738e-06,1.39
202,0.1294,8.032542165916203e-06,1.39
203,0.1351,8.017431122643671e-06,1.4
204,0.13,8.002320079371137e-06,1.41
205,0.129,7.987209036098604e-06,1.41
206,0.1302,7.972097992826072e-06,1.42
207,0.1286,7.956986949553538e-06,1.43
208,0.1332,7.941875906281005e-06,1.44
209,0.1354,7.926764863008473e-06,1.44
210,0.1306,7.911653819735939e-06,1.45
211,0.1349,7.896542776463407e-06,1.46
212,0.1287,7.881431733190874e-06,1.46
213,0.1211,7.86632068991834e-06,1.47
214,0.1254,7.851209646645808e-06,1.48
215,0.1295,7.836098603373273e-06,1.48
216,0.1298,7.820987560100741e-06,1.49
217,0.1255,7.805876516828209e-06,1.5
218,0.1294,7.790765473555676e-06,1.5
219,0.1244,7.775654430283142e-06,1.51
220,0.1233,7.76054338701061e-06,1.52
221,0.1289,7.745432343738075e-06,1.52
222,0.1316,7.730321300465543e-06,1.53
223,0.1263,7.71521025719301e-06,1.54
224,0.1248,7.700099213920476e-06,1.55
225,0.1325,7.684988170647944e-06,1.55
226,0.1234,7.669877127375412e-06,1.56
227,0.1246,7.654766084102877e-06,1.57
228,0.1167,7.639655040830345e-06,1.57
229,0.1285,7.624543997557812e-06,1.58
230,0.1224,7.609432954285278e-06,1.59
231,0.1214,7.594321911012745e-06,1.59
232,0.1281,7.5792108677402135e-06,1.6
233,0.1234,7.5640998244676786e-06,1.61
234,0.1307,7.548988781195145e-06,1.61
235,0.1293,7.533877737922614e-06,1.62
236,0.1198,7.5187666946500804e-06,1.63
237,0.1226,7.503655651377547e-06,1.63
238,0.1183,7.488544608105013e-06,1.64
239,0.1321,7.473433564832481e-06,1.65
240,0.1288,7.458322521559949e-06,1.66
241,0.1172,7.443211478287416e-06,1.66
242,0.12,7.4281004350148824e-06,1.67
243,0.1274,7.412989391742349e-06,1.68
244,0.1292,7.397878348469815e-06,1.68
245,0.1209,7.382767305197283e-06,1.69
246,0.1212,7.36765626192475e-06,1.7
247,0.1264,7.352545218652217e-06,1.7
248,0.1207,7.3374341753796845e-06,1.71
249,0.1196,7.322323132107151e-06,1.72
250,0.1259,7.307212088834616e-06,1.72
251,0.124,7.292101045562085e-06,1.73
252,0.1254,7.276990002289552e-06,1.74
253,0.1222,7.261878959017021e-06,1.74
254,0.1194,7.246767915744486e-06,1.75
255,0.1271,7.231656872471952e-06,1.76
256,0.1219,7.21654582919942e-06,1.77
257,0.1149,7.201434785926887e-06,1.77
258,0.1186,7.186323742654354e-06,1.78
259,0.1246,7.171212699381822e-06,1.79
260,0.1181,7.156101656109288e-06,1.79
261,0.1292,7.140990612836756e-06,1.8
262,0.1252,7.125879569564221e-06,1.81
263,0.1233,7.110768526291688e-06,1.81
264,0.1242,7.095657483019156e-06,1.82
265,0.1274,7.080546439746624e-06,1.83
266,0.1189,7.06543539647409e-06,1.83
267,0.123,7.050324353201557e-06,1.84
268,0.1159,7.035213309929023e-06,1.85
269,0.1229,7.0201022666564915e-06,1.85
270,0.1215,7.004991223383958e-06,1.86
271,0.1169,6.989880180111426e-06,1.87
272,0.1134,6.974769136838892e-06,1.88
273,0.1217,6.959658093566358e-06,1.88
274,0.1198,6.944547050293825e-06,1.89
275,0.1129,6.929436007021293e-06,1.9
276,0.1181,6.914324963748759e-06,1.9
277,0.11,6.899213920476228e-06,1.91
278,0.1144,6.884102877203694e-06,1.92
279,0.1228,6.86899183393116e-06,1.92
280,0.1195,6.853880790658627e-06,1.93
281,0.1214,6.838769747386095e-06,1.94
282,0.1145,6.823658704113563e-06,1.94
283,0.1167,6.80854766084103e-06,1.95
284,0.1189,6.793436617568495e-06,1.96
285,0.1146,6.7783255742959616e-06,1.96
286,0.125,6.763214531023429e-06,1.97
287,0.1176,6.748103487750897e-06,1.98
288,0.1228,6.732992444478364e-06,1.99
289,0.1233,6.717881401205831e-06,1.99
290,0.1187,6.702770357933298e-06,2.0
291,0.1129,6.687659314660765e-06,2.01
292,0.1067,6.672548271388232e-06,2.01
293,0.1065,6.657437228115699e-06,2.02
294,0.1103,6.642326184843166e-06,2.03
295,0.1084,6.627215141570632e-06,2.03
296,0.1109,6.6121040982981e-06,2.04
297,0.1085,6.5969930550255664e-06,2.05
298,0.1109,6.581882011753033e-06,2.05
299,0.1128,6.566770968480501e-06,2.06
300,0.1151,6.551659925207968e-06,2.07
301,0.1199,6.536548881935434e-06,2.07
302,0.1027,6.521437838662902e-06,2.08
303,0.1098,6.5063267953903684e-06,2.09
304,0.1099,6.491215752117835e-06,2.09
305,0.1071,6.476104708845302e-06,2.1
306,0.1104,6.46099366557277e-06,2.11
307,0.1038,6.445882622300236e-06,2.12
308,0.1089,6.430771579027704e-06,2.12
309,0.1117,6.4156605357551705e-06,2.13
310,0.1067,6.400549492482637e-06,2.14
311,0.1046,6.385438449210105e-06,2.14
312,0.1112,6.370327405937572e-06,2.15
313,0.1141,6.355216362665039e-06,2.16
314,0.1091,6.340105319392504e-06,2.16
315,0.1079,6.3249942761199725e-06,2.17
316,0.1005,6.309883232847439e-06,2.18
317,0.1069,6.294772189574907e-06,2.18
318,0.1052,6.2796611463023735e-06,2.19
319,0.1103,6.26455010302984e-06,2.2
320,0.1079,6.249439059757308e-06,2.2
321,0.1177,6.2343280164847745e-06,2.21
322,0.0998,6.219216973212241e-06,2.22
323,0.1127,6.204105929939709e-06,2.23
324,0.1066,6.188994886667176e-06,2.23
325,0.108,6.173883843394642e-06,2.24
326,0.1113,6.158772800122109e-06,2.25
327,0.1086,6.143661756849576e-06,2.25
328,0.103,6.128550713577042e-06,2.26
329,0.1016,6.113439670304511e-06,2.27
330,0.0978,6.0983286270319775e-06,2.27
331,0.1061,6.083217583759444e-06,2.28
332,0.1068,6.068106540486911e-06,2.29
333,0.1051,6.052995497214379e-06,2.29
334,0.1046,6.037884453941846e-06,2.3
335,0.107,6.022773410669313e-06,2.31
336,0.1086,6.0076623673967795e-06,2.31
337,0.113,5.992551324124246e-06,2.32
338,0.109,5.977440280851713e-06,2.33
339,0.1109,5.9623292375791805e-06,2.34
340,0.1019,5.947218194306647e-06,2.34
341,0.1052,5.932107151034115e-06,2.35
342,0.1115,5.9169961077615815e-06,2.36
343,0.1084,5.901885064489048e-06,2.36
344,0.1067,5.886774021216515e-06,2.37
345,0.1054,5.8716629779439825e-06,2.38
346,0.1008,5.856551934671449e-06,2.38
347,0.1049,5.841440891398918e-06,2.39
348,0.108,5.826329848126383e-06,2.4
349,0.1099,5.811218804853849e-06,2.4
350,0.1021,5.796107761581317e-06,2.41
351,0.1005,5.7809967183087845e-06,2.42
352,0.1061,5.765885675036251e-06,2.42
353,0.104,5.750774631763719e-06,2.43
354,0.1009,5.735663588491185e-06,2.44
355,0.1112,5.7205525452186514e-06,2.45
356,0.102,5.705441501946118e-06,2.45
357,0.1074,5.690330458673585e-06,2.46
358,0.0986,5.675219415401053e-06,2.47
