,loss,learning_rate,epoch
0,0.6843,1.8122508155128672e-07,0.01
1,0.6719,3.6245016310257344e-07,0.02
2,0.6239,5.436752446538602e-07,0.03
3,0.568,7.249003262051469e-07,0.04
4,0.5113,9.061254077564335e-07,0.05
5,0.4748,1.0873504893077203e-06,0.05
6,0.45,1.268575570859007e-06,0.06
7,0.4306,1.4498006524102938e-06,0.07
8,0.4066,1.6310257339615804e-06,0.08
9,0.3954,1.812250815512867e-06,0.09
10,0.3826,1.9934758970641536e-06,0.1
11,0.3743,2.1747009786154407e-06,0.11
12,0.3681,2.3559260601667273e-06,0.12
13,0.3594,2.537151141718014e-06,0.13
14,0.3554,2.7183762232693005e-06,0.14
15,0.3534,2.8996013048205875e-06,0.14
16,0.348,3.080826386371874e-06,0.15
17,0.339,3.2620514679231608e-06,0.16
18,0.3321,3.4432765494744474e-06,0.17
19,0.3187,3.624501631025734e-06,0.18
20,0.3229,3.805726712577021e-06,0.19
21,0.3171,3.986951794128307e-06,0.2
22,0.3088,4.168176875679594e-06,0.21
23,0.3037,4.349401957230881e-06,0.22
24,0.298,4.5306270387821675e-06,0.23
25,0.2944,4.7118521203334545e-06,0.24
26,0.2812,4.893077201884741e-06,0.24
27,0.269,5.074302283436028e-06,0.25
28,0.2712,5.255527364987315e-06,0.26
29,0.2769,5.436752446538601e-06,0.27
30,0.2675,5.617977528089889e-06,0.28
31,0.2582,5.799202609641175e-06,0.29
32,0.2474,5.980427691192462e-06,0.3
33,0.2465,6.161652772743748e-06,0.31
34,0.2516,6.342877854295035e-06,0.32
35,0.2406,6.5241029358463215e-06,0.33
36,0.2375,6.7053280173976086e-06,0.34
37,0.2428,6.886553098948895e-06,0.34
38,0.2363,7.067778180500182e-06,0.35
39,0.2363,7.249003262051468e-06,0.36
40,0.231,7.430228343602756e-06,0.37
41,0.223,7.611453425154042e-06,0.38
42,0.225,7.792678506705328e-06,0.39
43,0.2185,7.973903588256614e-06,0.4
44,0.2244,8.155128669807902e-06,0.41
45,0.2222,8.336353751359189e-06,0.42
46,0.2124,8.517578832910476e-06,0.43
47,0.2082,8.698803914461763e-06,0.43
48,0.2107,8.880028996013049e-06,0.44
49,0.2054,9.061254077564335e-06,0.45
50,0.2123,9.242479159115623e-06,0.46
51,0.2016,9.423704240666909e-06,0.47
52,0.2121,9.604929322218195e-06,0.48
53,0.2022,9.786154403769481e-06,0.49
54,0.2048,9.96737948532077e-06,0.5
55,0.1995,9.983653497644075e-06,0.51
56,0.2001,9.963718738673434e-06,0.52
57,0.193,9.943783979702791e-06,0.53
58,0.2016,9.92384922073215e-06,0.53
59,0.1961,9.903914461761509e-06,0.54
60,0.1861,9.883979702790868e-06,0.55
61,0.1977,9.864044943820225e-06,0.56
62,0.183,9.844110184849584e-06,0.57
63,0.1839,9.824175425878943e-06,0.58
64,0.1792,9.8042406669083e-06,0.59
65,0.1875,9.78430590793766e-06,0.6
66,0.1826,9.764371148967019e-06,0.61
67,0.1717,9.744436389996376e-06,0.62
68,0.1801,9.724501631025735e-06,0.63
69,0.1872,9.704566872055094e-06,0.63
70,0.1788,9.684632113084451e-06,0.64
71,0.1772,9.66469735411381e-06,0.65
72,0.1714,9.644762595143168e-06,0.66
73,0.1729,9.624827836172527e-06,0.67
74,0.1802,9.604893077201886e-06,0.68
75,0.1738,9.584958318231243e-06,0.69
76,0.1735,9.565023559260602e-06,0.7
77,0.1712,9.545088800289961e-06,0.71
78,0.1742,9.52515404131932e-06,0.72
79,0.1717,9.505219282348677e-06,0.72
80,0.1762,9.485284523378036e-06,0.73
81,0.1711,9.465349764407395e-06,0.74
82,0.1702,9.445415005436753e-06,0.75
83,0.1706,9.425480246466112e-06,0.76
84,0.1623,9.40554548749547e-06,0.77
85,0.1774,9.38561072852483e-06,0.78
86,0.1707,9.365675969554187e-06,0.79
87,0.1656,9.345741210583546e-06,0.8
88,0.1571,9.325806451612905e-06,0.81
89,0.179,9.305871692642262e-06,0.82
90,0.1658,9.285936933671621e-06,0.82
91,0.1653,9.26600217470098e-06,0.83
92,0.1655,9.246067415730338e-06,0.84
93,0.1549,9.226132656759697e-06,0.85
94,0.1574,9.206197897789054e-06,0.86
95,0.1617,9.186263138818413e-06,0.87
96,0.1624,9.166328379847772e-06,0.88
97,0.1483,9.14639362087713e-06,0.89
98,0.1535,9.126458861906488e-06,0.9
99,0.1615,9.106524102935847e-06,0.91
100,0.1689,9.086589343965206e-06,0.92
101,0.1595,9.066654584994564e-06,0.92
102,0.1659,9.046719826023923e-06,0.93
103,0.1587,9.026785067053282e-06,0.94
104,0.1601,9.006850308082639e-06,0.95
105,0.1589,8.986915549111998e-06,0.96
106,0.1584,8.966980790141357e-06,0.97
107,0.1585,8.947046031170716e-06,0.98
108,0.1552,8.927111272200073e-06,0.99
109,0.1544,8.907176513229432e-06,1.0
110,0.1541,8.887241754258791e-06,1.01
111,0.1537,8.867306995288149e-06,1.01
112,0.148,8.847372236317508e-06,1.02
113,0.1434,8.827437477346867e-06,1.03
114,0.1493,8.807502718376224e-06,1.04
115,0.1508,8.787567959405583e-06,1.05
116,0.1552,8.76763320043494e-06,1.06
117,0.1584,8.7476984414643e-06,1.07
118,0.1495,8.727763682493658e-06,1.08
119,0.1502,8.707828923523016e-06,1.09
120,0.1497,8.687894164552375e-06,1.1
121,0.1428,8.667959405581734e-06,1.11
122,0.1501,8.648024646611091e-06,1.11
123,0.1549,8.62808988764045e-06,1.12
124,0.1522,8.608155128669809e-06,1.13
125,0.1434,8.588220369699166e-06,1.14
126,0.1436,8.568285610728525e-06,1.15
127,0.1503,8.548350851757884e-06,1.16
128,0.1387,8.528416092787243e-06,1.17
129,0.1502,8.508481333816602e-06,1.18
130,0.1582,8.48854657484596e-06,1.19
131,0.146,8.468611815875319e-06,1.2
132,0.1452,8.448677056904676e-06,1.21
133,0.1465,8.428742297934035e-06,1.21
134,0.1451,8.408807538963394e-06,1.22
135,0.145,8.388872779992751e-06,1.23
136,0.1474,8.36893802102211e-06,1.24
137,0.1384,8.34900326205147e-06,1.25
138,0.1462,8.329068503080827e-06,1.26
139,0.1483,8.309133744110186e-06,1.27
140,0.1418,8.289198985139543e-06,1.28
141,0.1453,8.269264226168902e-06,1.29
142,0.1387,8.249329467198261e-06,1.3
143,0.141,8.22939470822762e-06,1.3
144,0.1378,8.209459949256977e-06,1.31
145,0.1457,8.189525190286336e-06,1.32
146,0.1322,8.169590431315695e-06,1.33
147,0.1394,8.149655672345053e-06,1.34
148,0.1311,8.129720913374412e-06,1.35
149,0.1358,8.10978615440377e-06,1.36
150,0.1404,8.08985139543313e-06,1.37
151,0.1348,8.069916636462487e-06,1.38
152,0.1387,8.049981877491846e-06,1.39
153,0.138,8.030047118521205e-06,1.4
154,0.1476,8.010112359550562e-06,1.4
155,0.1376,7.990177600579921e-06,1.41
156,0.1331,7.97024284160928e-06,1.42
157,0.136,7.950308082638638e-06,1.43
